Date;Feed Time;Come Back to Eat;Food Type;Brand;Description;Amount(g);Left Amount(g);Total Ate Amount(g);Hungry;Love;Result;Note;Weight(kg)
2024-11-09;00:20;-;Wet;bellotta;成貓 貓鮮包 腸道配方+益菌生f.o.s 鮪魚+雞肉;85.0;85.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;聞一聞, 完全不吃;
2024-11-09;00:20;-;Wet;vi chi 維齊;益力膳貓餐罐 - 雞肉;80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-09;00:20;9:17, 14:45, ;Kibble;原點;雞肉 無穀全貓配方;20.7;15.2;5.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-09;10:40;19:29, 23:21, 5:10, ;Wet;ciao;鮪魚布丁杯 鮪魚+干貝 imc-154;65.0;17.0;48.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-09;10:40;-;Wet;ciao;旨定罐 a-83 白身鮪魚+雞肉+干貝;85.0;85.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;聞一聞舔鼻子, 所以倒掉;
2024-11-09;10:40;23:18, 3:51, 5:09, ;Kibble;原點;雞肉 無穀全貓配方;36.8;13.5;23.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-10;00:20;10:04, ;Wet;ciao;旨定罐-奢華系列 a-145(柴魚片+鮪魚+雞肉);80.0;33.7;46.3;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-10;00:20;10:03, 14:45, ;Kibble;原點;雞肉 無穀全貓配方;20.2;16.4;3.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-10;09:30;00:09, 4:07, 5:33, 6:43,;Wet;axia;新金罐濃厚7號- 鮪, 牛;70.0;19.7;50.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-10;09:30;00:07, 4:05, 5:32, ;Kibble;原點;雞肉 無穀全貓配方;37.0;26.8;10.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-11;00:30;-;Wet;吶一口;鮮肉貓罐 鮪魚+雞肉;70.0;70.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;倒掉/飼料有加凍乾碎屑/15:50 吐;
2024-11-11;00:30;-;Wet;ciao;cc-83 貓用頂級奢華鮪魚 凍罐 鮪魚+鰹魚;60.0;56.8;3.2;🔺 No, not really. Ate A Little;❌ No!!!;🔺 - ❌;;
2024-11-11;00:30;12:51, 15:47, ;Kibble;原點;雞肉 無穀全貓配方;20.3;12.5;7.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-11;08:30;22:09, 4:46,;Wet;ciao;豪華罐 a-142 鮪魚+雞肉+干貝;80.0;34.7;45.3;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-11;08:30;21:42, 22:08, 00:32, 1:45, 4:44, ;Kibble;原點;雞肉 無穀全貓配方;33.4;12.8;20.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-12;00:35;-;Wet;ciao;布丁杯 鰹魚 imc-152;65.0;54.0;11.0;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-11-12;00:35;8:39, 13:56, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;21.5;17.1;4.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-12;09:50;23:43, ;Wet;ciao;鰹魚燒晚餐 ic-281 (雞肉+鰹魚+蟹肉+干貝);50.0;43.5;6.5;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-12;09:50;5:40, ;Wet;ciao;燒湯杯 nc-72(宗田鰹魚+雞肉+干貝);60.0;33.4;26.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-12;09:50;23:41, 3:48, 5:38, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;39.5;19.4;20.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-13;00:30;15:19, ;Wet;ciao;ic-308 化毛配方 鮪魚+雞肉+干貝;40.0;16.1;23.9;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-13;00:30;15:17, 18:20, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.3;16.6;3.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-13;10:22;4:47, 6:27, ;Wet;mon petit 貓倍麗;嚴選金罐懷石鮪魚料理(嚴選吞拿魚塊);85.0;41.8;43.2;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-13;10:22;20:24, 23:22, 00:38, 3:31, 4:45, 6:25, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;36.9;11.6;25.3;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-14;00:40;15:25, ;Wet;ciao;cc-84 奢華鮪魚罐 鮪魚+吻仔魚;60.0;44.2;15.8;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-14;00:40;15:25, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;21.0;18.7;2.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-14;00:40;-;Kibble;喜耀;成貓 海洋魚總匯;16.5;16.5;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;"";
2024-11-14;10:30;00:46, ;Wet;ciao;啾嚕雪花膏 雞肉干貝 cs-195;80.0;39.0;41.0;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-14;10:30;-;Wet;喵食堂;燉煮鮪魚雞肝鍋;80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-14;10:30;21:13, 22:40, 00:02, 00:44, 3:57, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;39.4;22.5;16.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-15;01:00;-;Wet;迷幻喵;6號 多汁雞肉+野生鮭魚;125.0;96.4;28.6;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-11-15;01:00;13:46, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.3;18.5;1.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-15;09:30;21:28, 21:47, 4:57;Wet;ciao;鰹魚燒晚餐包 ic-236 (鰹魚+干貝+鰹魚高湯);50.0;15.6;34.4;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-15;09:30;21:28, 00:13, 3:25, 4:56, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;39.0;22.2;16.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-16;08:30;18:44, 20:46, 23:16, 4:19, 4:53, ;Wet;ciao;近海罐92號 鮪魚+吻仔魚;80.0;17.8;62.2;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-16;08:30;18:42, 20:45, 23:08, 23:15, 2:48, 4:52, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;36.4;12.8;23.6;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-16;23:40;11:07, 14:08, ;Wet;辛迪斯;貓罐 雞肉扇貝 cr-064;80.0;54.4;25.6;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-16;23:40;14:09, ;Wet;ciao;ic-313 奢華鮭魚 (鮪魚+雞肉);35.0;10.3;24.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-16;23:40;11:06, 14:07, 14:22, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.0;15.7;4.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-17;00:15;14:41, 15:50, ;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹;80.0;30.7;49.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-17;00:15;14:40, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.0;16.6;3.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-17;10:00;22:44, 2:32, 4:30, 8:31, ;Wet;ciao;豪華罐 a-142 鮪魚+雞肉+干貝;80.0;14.1;65.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-17;10:00;20:29, 22:43, 2:29, 4:28, 8:29, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;38.3;13.5;24.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-18;01:30;-;Wet;vi chi 維齊;貓罐 鮪魚+雞肉+鮭魚;80.0;69.0;11.0;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-11-18;01:30;-;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;21.7;21.7;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-18;01:30;21:39, 23:42, 4:15, ;Wet;ciao;ic-245 鰹魚燒晚餐包(鰹魚+干貝);50.0;12.6;37.4;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-18;10:00;-;Wet;vif;s2 咪芙好鮮餐包 - 雞肉濃湯;75.0;55.8;19.2;🔺 No, not really. Ate A Little;❌ No!!!;🔺 - ❌;;
2024-11-18;10:00;23:39, 4:12, 8:20, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;46.0;29.6;16.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-19;00:30;13:43, ;Wet;ciao;cc-82 貓用頂級奢華鮪魚 鮪魚+干貝 凍罐;60.0;32.7;27.3;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-19;00:30;-;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.8;20.8;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-19;02:30;11:08, 13:42, ;Kibble;原點;雞肉 無穀全貓配方;16.3;8.9;7.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-19;02:30;4:03, 5:38, ;Wet;ciao;豪華罐 a-141 鮪魚+雞肉+頂級鮪魚;80.0;34.0;46.0;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-19;11:44;5:37, ;Kibble;杜莎;鮮雞佐鴨;15.0;13.8;1.2;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-19;11:44;4:01, 5:36, 9:05, ;Kibble;原點;雞肉 無穀全貓配方;34.2;13.3;20.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-20;01:13;15:30, ;Wet;mon petit 貓倍麗;mon petit 嚴選金罐懷石鮪魚料理(嚴選吞拿魚塊);85.0;60.9;24.1;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-20;01:13;14:45, 15:30, ;Kibble;原點;雞肉 無穀全貓配方;20.0;13.0;7.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-20;10:00;4:00, ;Wet;法麗;微湯汁系列 天然黃鰭鮪佐正鰹,鮭魚;80.0;58.6;21.4;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-20;11:00;22:39, 23:48, ;Wet;ciao;鰹魚燒晚餐包 ic-232(鰹魚+干貝);50.0;34.3;15.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-20;11:00;23:45, 3:57, ;Kibble;原點;雞肉 無穀全貓配方;34.0;19.5;14.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-21;00:20;-;Wet;vosto;鮮雞肉罐 (雞肉+鮪魚);80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-21;00:20;-;Wet;迷幻喵;6號 多汁雞肉+野生鮭魚;125.0;105.0;20.0;🔺 No, not really. Ate A Little;❌ No!!!;🔺 - ❌;;
2024-11-21;00:20;14:34, ;Wet;ciao;旨定罐-奢華系列 a-145(柴魚片+鮪魚+雞肉);80.0;61.8;18.2;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-21;00:20;14:33, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.5;16.7;3.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-21;00:20;-;Kibble;紐崔斯;黑鑽頂級無穀貓+凍乾 火雞肉+雞肉+鮭;15.3;15.3;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-21;00:20;22:39, ;Kibble;快樂貓;鮪魚雞肉貓飼料;15.6;6.1;9.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-21;11:00;-;Wet;易特廚;易特廚 干貝豪華大餐 (鮪魚+雞肉+干貝);80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-21;11:00;4:57, ;Wet;ciao;ic-306 泌尿保健 鮪魚+雞肉+干貝;40.0;40.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-21;11:00;22:38, 2:32, 4:59, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;36.7;21.1;15.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-22;00:40;-;Wet;爵士貓吧;雞肉肉泥;80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;倒掉;
2024-11-22;00:40;14:04, ;Wet;ciao;豪華雞三味餐包 ic-531 (雞肉口味);60.0;43.8;16.2;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-22;00:40;8:44, 14:03, ;Kibble;快樂貓;鮪魚雞肉貓飼料;22.0;18.0;4.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-22;09:37;5:04, ;Wet;ciao;a-143 豪華罐 (鮭魚+鮪魚+雞肉);80.0;30.9;49.1;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-22;09:37;"19:38, 19:49, 23:29, 2:10, 4;14, ";Kibble;快樂貓;鮪魚雞肉貓飼料;38.0;11.6;26.4;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-23;00:30;-;Wet;vi chi 維齊;貓罐 - 鮪魚+雞肉+牛肉;80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;倒掉;
2024-11-23;00:30;-;Wet;ciao;燒晚餐(雞肉+干貝) ic-282;50.0;48.0;2.0;🔺 No, not really. Ate A Little;❌ No!!!;🔺 - ❌;;
2024-11-23;00:30;-;Wet;希爾斯;成貓主食罐 香煎鮪魚燴胡蘿蔔;80.0;80.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;倒掉;
2024-11-23;00:30;9:19, 14:19,;Kibble;快樂貓;鮪魚雞肉貓飼料;21.4;16.9;4.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-23;08:38;18:19, 19:14, 20:23, 21:14, 23:12, 00:44, 4:17, 5:53, ;Kibble;快樂貓;鮪魚雞肉貓飼料;39.1;0.0;39.1;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-23;13:38;23:13, 5:55,;Wet;ciao;ciao cc-85 奢華鮪魚罐 鮪魚+蟹肉;60.0;36.0;24.0;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-24;00:30;9:36, 14:26, ;Wet;ciao;ic-239 鰹魚燒晚餐包 鰹魚+鮭魚+干貝;50.0;21.6;28.4;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-24;00:30;9:36, 14:25, ;Kibble;快樂貓;鮪魚雞肉貓飼料;22.1;20.4;1.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-24;08:09;18:34, 19:48, 20:26, 22:03, 23:59, 00:12, 4:59, 8:04, 8:37;Kibble;快樂貓;鮪魚雞肉貓飼料;49.3;0.0;49.3;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-24;14:25;00:12, 5:01, 8:38;Wet;ciao;豪華罐 a-142 鮪魚+雞肉+干貝;80.0;24.9;55.1;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-25;01:45;-;Wet;辛迪斯;辛迪斯貓餐包 雞肉鳳尾魚 cr-cp002;50.0;50.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-25;01:45;9:48, 13:37, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.2;12.3;7.9;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-25;09:11;17:28, 19:29, 23:12, 01:33, 4:15, 7:33;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;32.3;0.0;32.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-25;12:33;23:14, 01:35, 4:12, 5:09, 7:35,;Wet;mon petit 貓倍麗;mon petit 嚴選金罐懷石鮪魚料理(嚴選吞拿魚塊);85.0;14.7;70.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-11-26;01:09;14:22, ;Wet;ciao;鰹魚燒晚餐包 ic-232(鰹魚+干貝);50.0;37.6;12.4;💖 Yes, eat right away;🔺 So So;💖 - 🔺;5:20 吐;
2024-11-26;01:09;9:10, 14:21, ;Kibble;快樂貓;鮪魚雞肉貓飼料;20.3;15.8;4.5;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-26;09:00;17:32, 21:02, 22:54, 00:50, 1:21, 5:12, ;Kibble;快樂貓;鮪魚雞肉貓飼料;36.5;0.0;36.5;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-26;09:00;00:51, 1:23, 5:14, ;Wet;ciao;旨定罐-奢華系列 a-145(柴魚片+鮪魚+雞肉);80.0;43.4;36.6;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-27;00:50;-;Wet;吶一口;吶一口鮮肉貓罐 雞肉+雞丁;70.0;45.6;24.4;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-11-27;00:50;14:24, ;Kibble;快樂貓;鮪魚雞肉貓飼料;20.9;19.6;1.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-27;09:15;18:28, 23:46, 4:06, 5:42, ;Kibble;快樂貓;鮪魚雞肉貓飼料;44.6;0.0;44.6;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-27;12:45;23:47, ;Wet;ciao;豪華雞三味餐包 ic-532 (干貝口味) x2;120.0;65.7;54.3;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-28;01:10;-;Wet;vif;c5 咪芙好鮮餐包 鮪魚吻仔魚濃湯;75.0;75.0;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-28;01:10;9:52, ;Wet;迷幻喵;15號 100%開胃火雞肉;125.0;114.6;10.4;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;有加剩餘的凍乾粉;
2024-11-28;01:10;9:13, 12:45,;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;22.5;13.4;9.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-28;10:30;22:10, 00:00, 4:49, 8:46,;Wet;ciao;豪華雞三味餐包 ic-533 (雞軟骨口味);60.0;15.7;44.3;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;有用溫水隔水加熱(65C. 約一分鐘);
2024-11-28;10:30;22:09, 23:59, 4:47, 8:45,;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;38.5;19.7;18.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-29;01:10;13:35,;Wet;ciao;豪華罐 a-141 鮪魚+雞肉+頂級鮪魚;80.0;31.9;48.1;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-11-29;01:10;13:34, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.6;16.6;4.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-29;10:50;19:04, 23:07, 00:09, 1:40, 5:09, ;Wet;ciao;ic-239 鰹魚燒晚餐包 鰹魚+鮭魚+干貝;50.0;3.4;46.6;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-11-29;10:50;19:04, 20:03, 23:06, 00:08, 1:19, 1:38, 5:07, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;38.1;23.7;14.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-11-30;00:40;9:16, ;Wet;愛情貴族;白身鮪魚 & 雞肉;80.0;69.7;10.3;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-11-30;00:40;-;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;21.6;21.6;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-11-30;09:30;17:30, 19:46, 22:42, 1:22, 1:44, 5:25, 8:40;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;43.0;11.1;31.9;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;加剩餘的凍乾粉;
2024-11-30;12:30;1:24, 1:45, 5:27;Wet;ciao;a-143 豪華罐 (鮭魚+鮪魚+雞肉);80.0;30.5;49.5;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-12-01;00:45;16:18, ;Wet;喵食堂;燉煮鮪魚鮭魚鍋;80.0;38.2;41.8;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-12-01;00:45;16:17, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.0;17.0;3.0;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-01;12:30;23:48, 00:59, 5:08;Wet;ciao;鰹魚燒晚餐包 ic-244;50.0;28.6;21.4;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-12-01;12:30;23:47, 00:38, 00:58, 5:05, 8:57, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;38.3;11.9;26.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-02;02:00;-;Wet;易特廚;美味鮮蝦大餐 鮪魚+雞肉+鮮蝦;80.0;73.8;6.2;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;5.7
2024-12-02;02:00;-;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.4;20.4;0.0;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-12-02;09:38;17:59, 19:25, 20:12, 00:34, 4:26, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;41.5;0.0;41.5;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-12-02;12:50;00:36, 4:27, 4:49;Wet;ciao;鰹魚燒晚餐包 ic-236 (鰹魚+干貝+鰹魚高湯);50.0;22.5;27.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-03;01:00;10:00, 15:10;Wet;ciao;豪華雞三味餐包 ic-533 (雞軟骨口味);60.0;29.6;30.4;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-12-03;01:00;9:59, 15:08, ;Kibble;快樂貓;鮪魚雞肉貓飼料;20.0;13.9;6.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-03;09:35;18:01, 18:58, 19:10, 22:51, 23:37, 3:45, 5:28;Kibble;快樂貓;鮪魚雞肉貓飼料;35.1;9.1;26.0;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-12-03;13:00;3:46, 5:29;Wet;mon petit 貓倍麗;mon petit 嚴選金罐懷石鮪魚料理(嚴選吞拿魚塊);85.0;48.2;36.8;💖 Yes, eat right away;🔺 So So;💖 - 🔺;;
2024-12-04;01:00;15:06,;Wet;t.n.a 悠遊;厚肉肉有料湯肉貓罐 鮮鯛魚;80.0;58.1;21.9;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-12-04;01:00;15:06,;Kibble;快樂貓;鮪魚雞肉貓飼料;21.5;16.4;5.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-04;09:19;20:56, 22:18, 00:42, 4:09, 5:35,;Kibble;快樂貓;鮪魚雞肉貓飼料;43.6;22.2;21.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-04;10:40;20:57, 22:18, 5:36,;Wet;ciao;極鮮合味系列 貓餐杯 nc-93 雞肉;85.0;42.5;42.5;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-05;01:25;15:37, ;Wet;ciao;鮪魚布丁杯 鮪魚+干貝 imc-154;65.0;51.8;13.2;🔺 No, not really. Ate A Little;🔺 So So;🔺 - 🔺;;
2024-12-05;01:25;9:49, 11:34, 13:08, 15:36, 18:04, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;22.2;8.4;13.8;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-05;10:10;19:01, 19:36, 22:02, 23:55, 4:04, 8:53, ;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;34.0;1.6;32.4;❌ No, not interested;💕 Love it So Much;❌ - 💕;;
2024-12-05;13:40;23:57, 00:11, 8:55;Wet;ciao;旨定濃湯罐系列 a-232 (鰹魚+雞肉+柴魚片);75.0;15.3;59.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-12-06;01:40;-;Wet;mon petit 貓倍麗;鰹魚鮮雞雙拼餐盒 lc3;57.0;35.3;21.7;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-12-06;01:40;10:30, 14:26,;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;21.4;16.3;5.1;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-06;09:50;18:00, 23:30, 1:08, 3:32, 5:11, 10:51;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;41.5;19.2;22.3;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-06;13:40;23:32, 1:07, 5:12, 10:53;Wet;ciao;近海鰹魚罐93號 (干貝味) ;80.0;24.3;55.7;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-12-07;03:00;-;Wet;ciao;cc-81 貓用頂級奢華鮪魚 凍罐;60.0;42.8;17.2;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;5.7
2024-12-07;03:00;-;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;20.4;16.8;3.6;❌ No, not interested;❌ No!!!;❌ - ❌;;
2024-12-07;08:30;9:11, ;Kibble;lucy 魔力寵糧;鮭魚雞肉佐南瓜;18.4;14.0;4.4;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-07;08:30;23:38, 00:44, 4:40;Kibble;柏萊富;特調無穀 全齡貓配方 鴨肉+鮭魚+豌豆;37.2;17.3;19.9;❌ No, not interested;🔺 So So;❌ - 🔺;;
2024-12-07;08:30;4:43, 9:12, ;Wet;ciao;旨定濃湯罐系列 a-231(鮪魚+雞肉);75.0;21.0;54.0;💖 Yes, eat right away;💕 Love it So Much;💖 - 💕;;
2024-12-08;02:10;-;Wet;axia;新金罐濃厚7號- 鮪, 牛;70.0;52.6;17.4;💖 Yes, eat right away;❌ No!!!;💖 - ❌;;
2024-12-08;02:10;10:50, ;Kibble;快樂貓;鮪魚雞肉貓飼料;20.5;10.8;9.7;❌ No, not interested;🔺 So So;❌ - 🔺;;
